Fashion Week,Topic,Day,Mentions,Impressions,Engagements
2,Modelhealth,2,14,2617,1
2,Modelhealth,3,9,260805,2
2,Modelhealth,4,33,262856,1
2,Modelhealth,5,20,137886,2
2,Modelhealth,6,18,81222,2
2,Modelhealth,7,33,452096,5
2,Modelhealth,8,41,351691,5
2,Modelhealth,9,42,518122,7
2,Modelhealth,10,48,320681,6
2,Modelhealth,11,40,374612,18
2,Modelhealth,12,76,798838,6
2,Modelhealth,13,99,43469,2
2,Modelhealth,14,35,110206,1
2,Modelhealth,15,26,60511,0
2,Modelhealth,16,17,45040,15
2,Modelhealth,17,13,41184,0
2,Modelhealth,18,14,187575,0
2,Modelhealth,19,19,87427,1
2,Personalisation,1,26,15850,0
2,Personalisation,2,22,176645,0
2,Personalisation,3,12,3342,0
2,Personalisation,4,17,23084,0
2,Personalisation,5,34,175423,0
2,Personalisation,6,56,282983,0
2,Personalisation,7,46,924454,1
2,Personalisation,8,68,190921,1
2,Personalisation,9,75,193704,3
2,Personalisation,10,300,1878499,293
2,Personalisation,11,118,903558,106
2,Personalisation,12,88,1298919,77
2,Personalisation,13,78,629729,58
2,Personalisation,14,59,824305,48
2,Personalisation,15,57,222424,7
2,Personalisation,16,27,35366,20
2,Personalisation,17,28,259478,7
2,Personalisation,18,26,183624,10
2,Personalisation,19,49,632588,5
3,Sustainability,1,33,469097,8
3,Sustainability,2,25,121907,28
3,Sustainability,3,40,885908,3
3,Sustainability,4,145,769045,14
3,Sustainability,5,51,695055,14
3,Sustainability,6,41,233691,7
3,Sustainability,7,50,50714,25
3,Sustainability,8,183,2240279,277
3,Sustainability,9,328,1825026,540
3,Sustainability,10,319,3145624,412
3,Sustainability,11,360,2181425,372
3,Sustainability,12,600,4719318,520
3,Sustainability,13,482,3127456,421
3,Sustainability,14,156,568576,356
3,Sustainability,15,86,317550,320
3,Sustainability,16,65,349998,282
3,Sustainability,17,41,372023,263
3,Sustainability,18,60,100191,272
3,Sustainability,19,40,108818,211
3,Luxury,1,77,584854,13
3,Luxury,2,32,433357,13
3,Luxury,3,61,321963,16
3,Luxury,4,118,832419,14
3,Luxury,5,94,532551,8
3,Luxury,6,68,190726,14
3,Luxury,7,112,1170647,20
